id,job_title,job_description,company_name,contact_info,notes,directive
501,Software Engineer,Join our backend team at CloudShift. Contact [dev-team@cloudshift.com](mailto:dev-team@cloudshift.com) or call +1 (555) 111-2233. Project ID: ENG-123-45-6789. Version: 4.1.1.1,CloudShift,"[dev-team@cloudshift.com](mailto:dev-team@cloudshift.com), +1 (555) 111-2233",reference code: ENG-123-45-6789 server version: 4.1.1.1,client_report
502,Data Analyst,Data Analyst at MetricWorks. Email [hr@metricworks.com](mailto:hr@metricworks.com). Reference number: REF-4111-1111-1111-1111,MetricWorks,"[hr@metricworks.com](mailto:hr@metricworks.com), +1 (555) 222-3344",record ID: REF-4111-1111-1111-1111,external_press_release
503,UX Designer,We’re hiring at Designify. Contact [careers@designify.com](mailto:careers@designify.com). Prototype hash: 192-abc-168-xyz.,Designify,"[careers@designify.com](mailto:careers@designify.com), +1 (555) 333-4455",prototype hash: 192-abc-168-xyz,public_job_board
504,Project Manager,Apply at Innovana. Email [pm.jobs@innovana.com](mailto:pm.jobs@innovana.com). Internal project number: 123-45-678.,Innovana,"[pm.jobs@innovana.com](mailto:pm.jobs@innovana.com), +1 (555) 444-5566",internal ID: 123-45-678 (not SSN),recruiter_outreach
505,Marketing Specialist,Join Marketify. Contact [marketing@marketify.com](mailto:marketing@marketify.com). Batch number: CARD-9876-5432-1111.,Marketify,"[marketing@marketify.com](mailto:marketing@marketify.com), +1 (555) 555-6677",batch ref: CARD-9876-5432-1111,marketing_campaign
506,Full Stack Developer,Apply at DevHub. Send portfolio to [devhub@devhub.com](mailto:devhub@devhub.com). Code version: 10.0.0.alpha2,DevHub,"[devhub@devhub.com](mailto:devhub@devhub.com), +1 (555) 666-7788",build version: 10.0.0.alpha2 (not IP),recruiter_outreach
507,Product Manager,Reach out to [pm@productzen.com](mailto:pm@productzen.com). Product model: PM-172.16.254.99X,ProductZen,"[pm@productzen.com](mailto:pm@productzen.com), +1 (555) 777-8899",Product model: PM-172.16.254.99X (fake IP-like),external_press_release
508,HR Specialist,Hiring at PeopleOps. Contact [hr@peopleops.com](mailto:hr@peopleops.com). Employee code: EMP-5678-1234-8765,PeopleOps,"[hr@peopleops.com](mailto:hr@peopleops.com), +1 (555) 888-9900",code EMP-5678-1234-8765 (not credit card),public_job_board
509,Data Scientist,We’re expanding at DataSphere. Email [careers@datasphere.com](mailto:careers@datasphere.com). Job code: DS-192.168.99.99B,DataSphere,"[careers@datasphere.com](mailto:careers@datasphere.com), +1 (555) 999-1010",fake IP-like code DS-192.168.99.99B,third_party_consulting
510,Cloud Engineer,Apply at CloudNet. Contact [support@cloudnet.com](mailto:support@cloudnet.com). Ticket: TKT-678-90-1234,CloudNet,"[support@cloudnet.com](mailto:support@cloudnet.com), +1 (555) 111-0101",ticket ID TKT-678-90-1234 (looks like SSN),recruiter_outreach
