id,cleaned_strict
501,"[NAME] | Join our backend team at CloudShift. Contact [[EMAIL]](mailto:[EMAIL]) or call +[PHONE]. Project ID: ENG-123-45-6789. Version: [IP] | CloudShift | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | reference code: ENG-123-45-6789 server version: [IP]"
502,"[NAME] | [NAME] at MetricWorks. Email [[EMAIL]](mailto:[EMAIL]). Reference number: REF-[CREDIT_CARD] | MetricWorks | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | record ID: REF-[CREDIT_CARD]"
503,"UX Designer | We’re hiring at Designify. Contact [[EMAIL]](mailto:[EMAIL]). Prototype hash: 192-abc-168-xyz. | Designify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | prototype hash: 192-abc-168-xyz"
504,"[NAME] | Apply at Innovana. Email [[EMAIL]](mailto:[EMAIL]). Internal project number: 123-45-678. | Innovana | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | internal ID: 123-45-678 (not SSN)"
505,"[NAME] | [NAME]. Contact [[EMAIL]](mailto:[EMAIL]). Batch number: CARD-9876-5432-1111. | Marketify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | batch ref: CARD-9876-5432-1111"
506,"[NAME] | Apply at DevHub. Send portfolio to [[EMAIL]](mailto:[EMAIL]). Code version: 10.0.0.alpha2 | DevHub | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | build version: 10.0.0.alpha2 (not IP)"
507,"[NAME] | Reach out to [[EMAIL]](mailto:[EMAIL]). Product model: PM-172.16.254.99X | ProductZen | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | Product model: PM-172.16.254.99X (fake IP-like)"
508,"HR Specialist | Hiring at PeopleOps. Contact [[EMAIL]](mailto:[EMAIL]). Employee code: EMP-5678-1234-8765 | PeopleOps | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | code EMP-5678-1234-8765 (not credit card)"
509,"[NAME] | We’re expanding at DataSphere. Email [[EMAIL]](mailto:[EMAIL]). Job code: DS-192.168.99.99B | DataSphere | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like code DS-192.168.99.99B"
510,"[NAME] | Apply at CloudNet. Contact [[EMAIL]](mailto:[EMAIL]). Ticket: TKT-678-90-1234 | CloudNet | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | ticket ID TKT-678-90-1234 (looks like SSN)"
511,"[NAME] | Join our AI team at NeuralSoft. Contact [[EMAIL]](mailto:[EMAIL]). Reference: ENG-001-23-4567 | NeuralSoft | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | internal ref: ENG-001-23-4567 (not SSN)"
512,"[NAME] | [NAME] role at CodeForge. Email [[EMAIL]](mailto:[EMAIL]). Build: [IP]-beta | CodeForge | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | version code [IP]-beta (not IP)"
513,"[NAME] | Apply at DataSphere. Contact [[EMAIL]](mailto:[EMAIL]). Dataset ID: 4111-AAAA-1111-9999 | DataSphere | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | dataset ID 4111-AAAA-1111-9999"
514,"[NAME] | [NAME] opening at ProductZen. Email [[EMAIL]](mailto:[EMAIL]). Ticket: PMT-123-45-098 | ProductZen | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | ticket ID PMT-123-45-098"
515,"[NAME] | [NAME]. Contact [[EMAIL]](mailto:[EMAIL]). Build hash: ver.10.10.10.alpha | Webify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | hash ver.10.10.10.alpha"
516,"[NAME] | [NAME] at CyberEdge. Email [[EMAIL]](mailto:[EMAIL]). Batch: CARD-1111-2222-3333 | CyberEdge | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | batch CARD-1111-2222-3333 (not credit card)"
517,"[NAME] | Apply to CloudNet. Email [[EMAIL]](mailto:[EMAIL]). Instance ID: 10.0.0.alpha9 | CloudNet | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | build ID 10.0.0.alpha9"
518,"UX Designer | UX Designer role at DesignLoop. Contact [[EMAIL]](mailto:[EMAIL]). Mock ID: UX-567-89-012 | DesignLoop | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | mock ID UX-567-89-012 (not SSN)"
519,"[NAME] | Join DataLab. Contact [[EMAIL]](mailto:[EMAIL]). Model version: v172.16.99.99-dev | DataLab | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like model v172.16.99.99-dev"
520,"[NAME] | We’re hiring at ManagePro. Email [[EMAIL]](mailto:[EMAIL]). Project number: PRJ-345-67-890 | ManagePro | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | project ID PRJ-345-67-890"
521,"HR Specialist | HR Specialist role at PeopleForce. Contact [[EMAIL]](mailto:[EMAIL]). Form code: EMP-7890-4321-0000 | PeopleForce | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | employee code EMP-7890-4321-0000"
522,"DevOps Engineer | Join OpsCore. Email [[EMAIL]](mailto:[EMAIL]). Server build: 10.100.200.300A | OpsCore | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | non-IP string 10.100.200.300A"
