conversation,ground_truth,allowed_restaurant,allowed_bank,pii_entities
"Hey, earlier I told the rep my name is Priya Menon, my phone is 415-555-2098, my email is priya.menon@example.com, and my date of birth is 03/14/1992. I also mentioned I work at Nimbus Labs in San Jose.","[NAME, PHONE, EMAIL, DATE/DOB, company, location]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""Priya Menon"", ""label"": ""PERSON"", ""start"": 39, ""end"": 50, ""source"": ""spacy""}, {""text"": ""415"", ""label"": ""CARDINAL"", ""start"": 64, ""end"": 67, ""source"": ""spacy""}, {""text"": ""03/14/1992"", ""label"": ""DATE"", ""start"": 139, ""end"": 149, ""source"": ""spacy""}, {""text"": ""Nimbus Labs"", ""label"": ""ORG"", ""start"": 178, ""end"": 189, ""source"": ""spacy""}, {""text"": ""San Jose"", ""label"": ""GPE"", ""start"": 193, ""end"": 201, ""source"": ""spacy""}, {""text"": ""priya.menon@example.com"", ""label"": ""EMAIL"", ""start"": 90, ""end"": 113, ""source"": ""regex""}, {""text"": ""415-555-2098"", ""label"": ""PHONE"", ""start"": 64, ""end"": 76, ""source"": ""regex""}]"
"Last week I shared my SSN 123-45-6789, my Visa card ending in 1122, my IP 192.168.0.14, and that my email is michael.chen@sample.org. My name is Michael Chen.","[SSN, CREDIT_CARD, IP, EMAIL, NAME]",[EMAIL],"[EMAIL, CREDIT_CARD, SSN]","[{""text"": ""Last week"", ""label"": ""DATE"", ""start"": 0, ""end"": 9, ""source"": ""spacy""}, {""text"": ""SSN"", ""label"": ""ORG"", ""start"": 22, ""end"": 25, ""source"": ""spacy""}, {""text"": ""123"", ""label"": ""CARDINAL"", ""start"": 26, ""end"": 29, ""source"": ""spacy""}, {""text"": ""Visa"", ""label"": ""ORG"", ""start"": 42, ""end"": 46, ""source"": ""spacy""}, {""text"": ""1122"", ""label"": ""DATE"", ""start"": 62, ""end"": 66, ""source"": ""spacy""}, {""text"": ""192.168.0.14"", ""label"": ""DATE"", ""start"": 74, ""end"": 86, ""source"": ""spacy""}, {""text"": ""Michael Chen"", ""label"": ""PERSON"", ""start"": 145, ""end"": 157, ""source"": ""spacy""}, {""text"": ""michael.chen@sample.org"", ""label"": ""EMAIL"", ""start"": 109, ""end"": 132, ""source"": ""regex""}, {""text"": ""192.168.0.14"", ""label"": ""IP_ADDRESS"", ""start"": 74, ""end"": 86, ""source"": ""regex""}, {""text"": ""123-45-6789"", ""label"": ""SSN"", ""start"": 26, ""end"": 37, ""source"": ""regex""}]"
"On the call I said my phone is 202-555-7890, my email j.doe@acme.io, DOB 1990-07-21, and I live at 77 Broad St, Boston. I work at Acme Innovations.","[PHONE, EMAIL, DATE/DOB, location, company]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""202"", ""label"": ""CARDINAL"", ""start"": 31, ""end"": 34, ""source"": ""spacy""}, {""text"": ""j.doe@acme.io"", ""label"": ""GPE"", ""start"": 54, ""end"": 67, ""source"": ""spacy""}, {""text"": ""DOB"", ""label"": ""ORG"", ""start"": 69, ""end"": 72, ""source"": ""spacy""}, {""text"": ""1990-07-21"", ""label"": ""DATE"", ""start"": 73, ""end"": 83, ""source"": ""spacy""}, {""text"": ""Broad St"", ""label"": ""PERSON"", ""start"": 102, ""end"": 110, ""source"": ""spacy""}, {""text"": ""Boston"", ""label"": ""GPE"", ""start"": 112, ""end"": 118, ""source"": ""spacy""}, {""text"": ""Acme Innovations"", ""label"": ""ORG"", ""start"": 130, ""end"": 146, ""source"": ""spacy""}, {""text"": ""j.doe@acme.io"", ""label"": ""EMAIL"", ""start"": 54, ""end"": 67, ""source"": ""regex""}, {""text"": ""202-555-7890"", ""label"": ""PHONE"", ""start"": 31, ""end"": 43, ""source"": ""regex""}]"
"I had mentioned my name is Sara Ahmed, my IP address 10.0.0.5, my age is 33, my sex is female, and my email is sara.ahmed@bluewave.com.","[NAME, IP, age, sex, EMAIL]",[EMAIL],[EMAIL],"[{""text"": ""Sara Ahmed"", ""label"": ""PERSON"", ""start"": 27, ""end"": 37, ""source"": ""spacy""}, {""text"": ""IP"", ""label"": ""ORG"", ""start"": 42, ""end"": 44, ""source"": ""spacy""}, {""text"": ""10.0.0.5"", ""label"": ""DATE"", ""start"": 53, ""end"": 61, ""source"": ""spacy""}, {""text"": ""33"", ""label"": ""DATE"", ""start"": 73, ""end"": 75, ""source"": ""spacy""}, {""text"": ""sara.ahmed@bluewave.com"", ""label"": ""EMAIL"", ""start"": 111, ""end"": 134, ""source"": ""regex""}, {""text"": ""10.0.0.5"", ""label"": ""IP_ADDRESS"", ""start"": 53, ""end"": 61, ""source"": ""regex""}]"
"Earlier I provided my SSN 321-54-9876, my Mastercard ending 4401, my phone 646-555-0198, and my date of birth 12/25/1987. I'm Liam O'Connor.","[SSN, CREDIT_CARD, PHONE, DATE/DOB, NAME]",[PHONE],"[PHONE, CREDIT_CARD, DATE/DOB, SSN]","[{""text"": ""321"", ""label"": ""CARDINAL"", ""start"": 26, ""end"": 29, ""source"": ""spacy""}, {""text"": ""Mastercard"", ""label"": ""ORG"", ""start"": 42, ""end"": 52, ""source"": ""spacy""}, {""text"": ""4401"", ""label"": ""DATE"", ""start"": 60, ""end"": 64, ""source"": ""spacy""}, {""text"": ""646"", ""label"": ""CARDINAL"", ""start"": 75, ""end"": 78, ""source"": ""spacy""}, {""text"": ""12/25/1987"", ""label"": ""DATE"", ""start"": 110, ""end"": 120, ""source"": ""spacy""}, {""text"": ""Liam O'Connor"", ""label"": ""PERSON"", ""start"": 126, ""end"": 139, ""source"": ""spacy""}, {""text"": ""646-555-0198"", ""label"": ""PHONE"", ""start"": 75, ""end"": 87, ""source"": ""regex""}, {""text"": ""321-54-9876"", ""label"": ""SSN"", ""start"": 26, ""end"": 37, ""source"": ""regex""}]"
"I told support my name is Maya Patel, email maya.patel@novahealth.com, phone 718-555-6620, and that I work at Nova Health, based in Seattle.","[NAME, EMAIL, PHONE, company, location]","[PHONE, EMAIL]","[EMAIL, PHONE]","[{""text"": ""Maya Patel"", ""label"": ""PERSON"", ""start"": 26, ""end"": 36, ""source"": ""spacy""}, {""text"": ""718"", ""label"": ""CARDINAL"", ""start"": 77, ""end"": 80, ""source"": ""spacy""}, {""text"": ""Nova Health"", ""label"": ""ORG"", ""start"": 110, ""end"": 121, ""source"": ""spacy""}, {""text"": ""Seattle"", ""label"": ""GPE"", ""start"": 132, ""end"": 139, ""source"": ""spacy""}, {""text"": ""maya.patel@novahealth.com"", ""label"": ""EMAIL"", ""start"": 44, ""end"": 69, ""source"": ""regex""}, {""text"": ""718-555-6620"", ""label"": ""PHONE"", ""start"": 77, ""end"": 89, ""source"": ""regex""}]"
"I mentioned my date of birth is 07/04/1991, my email diego.f@sunlight.io, my IP 172.16.4.22, and my phone number 305-555-4431.","[DATE/DOB, EMAIL, IP, PHONE]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""07/04/1991"", ""label"": ""PERSON"", ""start"": 32, ""end"": 42, ""source"": ""spacy""}, {""text"": ""305"", ""label"": ""CARDINAL"", ""start"": 113, ""end"": 116, ""source"": ""spacy""}, {""text"": ""diego.f@sunlight.io"", ""label"": ""EMAIL"", ""start"": 53, ""end"": 72, ""source"": ""regex""}, {""text"": ""305-555-4431"", ""label"": ""PHONE"", ""start"": 113, ""end"": 125, ""source"": ""regex""}, {""text"": ""172.16.4.22"", ""label"": ""IP_ADDRESS"", ""start"": 80, ""end"": 91, ""source"": ""regex""}]"
"I said I'm Hannah Kim, age 29, sex female, living in Austin, and my email is h.kim@horizonmedia.co.","[NAME, age, sex, location, EMAIL]",[EMAIL],[EMAIL],"[{""text"": ""Hannah Kim"", ""label"": ""PERSON"", ""start"": 11, ""end"": 21, ""source"": ""spacy""}, {""text"": ""age 29"", ""label"": ""DATE"", ""start"": 23, ""end"": 29, ""source"": ""spacy""}, {""text"": ""Austin"", ""label"": ""GPE"", ""start"": 53, ""end"": 59, ""source"": ""spacy""}, {""text"": ""h.kim@horizonmedia.co"", ""label"": ""PERSON"", ""start"": 77, ""end"": 98, ""source"": ""spacy""}, {""text"": ""h.kim@horizonmedia.co"", ""label"": ""EMAIL"", ""start"": 77, ""end"": 98, ""source"": ""regex""}]"
"I shared my SSN 555-12-3456, my card number 4111 1111 1111 2345, my email noah.w@vertex.ai, and IP 198.51.100.23.","[SSN, CREDIT_CARD, EMAIL, IP]",[EMAIL],"[EMAIL, CREDIT_CARD, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 12, ""end"": 15, ""source"": ""spacy""}, {""text"": ""1111 1111"", ""label"": ""WORK_OF_ART"", ""start"": 49, ""end"": 58, ""source"": ""spacy""}, {""text"": ""2345"", ""label"": ""DATE"", ""start"": 59, ""end"": 63, ""source"": ""spacy""}, {""text"": ""198.51.100.23"", ""label"": ""CARDINAL"", ""start"": 99, ""end"": 112, ""source"": ""spacy""}, {""text"": ""noah.w@vertex.ai"", ""label"": ""EMAIL"", ""start"": 74, ""end"": 90, ""source"": ""regex""}, {""text"": ""4111 1111"", ""label"": ""PHONE"", ""start"": 44, ""end"": 53, ""source"": ""regex""}, {""text"": ""1111 2345"", ""label"": ""PHONE"", ""start"": 54, ""end"": 63, ""source"": ""regex""}, {""text"": ""198.51.100.23"", ""label"": ""IP_ADDRESS"", ""start"": 99, ""end"": 112, ""source"": ""regex""}, {""text"": ""555-12-3456"", ""label"": ""SSN"", ""start"": 16, ""end"": 27, ""source"": ""regex""}, {""text"": ""4111 1111 1111 2345"", ""label"": ""CREDIT_CARD_16"", ""start"": 44, ""end"": 63, ""source"": ""regex""}]"
"I told him my name is Ava Johnson, phone 213-555-8402, email ava.johnson@orioncloud.com, and that I work at Orion Cloud in Los Angeles.","[NAME, PHONE, EMAIL, company, location]","[PHONE, EMAIL]","[EMAIL, PHONE]","[{""text"": ""Ava Johnson"", ""label"": ""PERSON"", ""start"": 22, ""end"": 33, ""source"": ""spacy""}, {""text"": ""213"", ""label"": ""CARDINAL"", ""start"": 41, ""end"": 44, ""source"": ""spacy""}, {""text"": ""Orion Cloud"", ""label"": ""FAC"", ""start"": 108, ""end"": 119, ""source"": ""spacy""}, {""text"": ""Los Angeles"", ""label"": ""GPE"", ""start"": 123, ""end"": 134, ""source"": ""spacy""}, {""text"": ""ava.johnson@orioncloud.com"", ""label"": ""EMAIL"", ""start"": 61, ""end"": 87, ""source"": ""regex""}, {""text"": ""213-555-8402"", ""label"": ""PHONE"", ""start"": 41, ""end"": 53, ""source"": ""regex""}]"
